current,filename,current_subfolder,score_5_plex,score_6_plex,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Investment_Summary (1).docx,Allendale Investment_Summary (1).docx,_NeedsReview,0,4,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Document_Index.docx,Allendale_6408_CMHC_Document_Index.docx,_NeedsReview,4,2,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6 Unit .xlsx,Allendale 6 Unit .xlsx,_NeedsReview,0,1,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Marketing & OM/Allendale- Good faith Deposit COI-CMLS Deposit .pdf,Allendale- Good faith Deposit COI-CMLS Deposit .pdf,Marketing & OM,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Legal/Allendale Closing Lawyer Bank Draft Calculation Lawyer Payments.pdf,Allendale Closing Lawyer Bank Draft Calculation Lawyer Payments.pdf,Legal,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/allendale5.png,allendale5.png,Photos,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/allendale6.png,allendale6.png,Photos,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/New 5-unit infill in Allendale.png,New 5-unit infill in Allendale.png,Photos,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/10646 61 Ave Allendale - Front & Left (4).jpg,10646 61 Ave Allendale - Front & Left (4).jpg,Photos,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/10646 61 Ave Allendale - Front & Right.jpg,10646 61 Ave Allendale - Front & Right.jpg,Photos,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale 10646 61 St .png,Allendale 10646 61 St .png,Photos,0,1,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale Abatement Payment .png,Allendale Abatement Payment .png,Photos,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale lawyer Fee IMG_6186.PNG,Allendale lawyer Fee IMG_6186.PNG,Photos,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale cost breakdown .png,Allendale cost breakdown .png,Photos,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/6408 Allendale - Front Left View.jpg,6408 Allendale - Front Left View.jpg,Photos,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Reports/Allendale Appraisal invoice_93826.pdf,Allendale Appraisal invoice_93826.pdf,Reports,2,0,Allendale 5-Plex (6408 106 St)
