from,to,project,subfolder,status,size
/Users/sunniyaremchuk/Purchase Contract (9724 82 Ave).pdf,/Users/sunniyaremchuk/RealEstate_Organized/9724 82 Ave NW/Contracts/Purchase Contract (9724 82 Ave).pdf,9724 82 Ave NW,Contracts,primary,372170
/Users/sunniyaremchuk/Distressed Property Outreach .pdf,/Users/sunniyaremchuk/RealEstate_Organized/Distressed Property Outreach/_NeedsReview/Distressed Property Outreach .pdf,Distressed Property Outreach,_NeedsReview,primary,89963
/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St .pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/Invoice Assignment Fee 10612 127 St .pdf,10612 127 Street NW,Contracts,duplicate,27884
/Users/sunniyaremchuk/Allendale_Partner_Meeting_Pack.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Meeting_Pack.docx,Allendale (generic),_NeedsReview,primary,41319
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW - Schedule_B - Sepcifications.pdf,10612 127 Street NW,Contracts,duplicate,545271
/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1).pdf,Verum (9121 152 St),_NeedsReview,duplicate,410496
/Users/sunniyaremchuk/Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf.pdf,Allendale (generic),_NeedsReview,primary,200046
/Users/sunniyaremchuk/Allendale_QS_cost_log_v4.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_v4.xlsx,Allendale (generic),_NeedsReview,primary,19202
/Users/sunniyaremchuk/10848 153 ST Edmonton- Purchase.pdf,/Users/sunniyaremchuk/RealEstate_Organized/In-Between Homes (10848 153 St)/Contracts/10848 153 ST Edmonton- Purchase.pdf,In-Between Homes (10848 153 St),Contracts,primary,1399370
"/Users/sunniyaremchuk/E-TFR - $10,000- 10636 127 NW.pdf","/Users/sunniyaremchuk/RealEstate_Organized/10636 127 St NW/_NeedsReview/E-TFR - $10,000- 10636 127 NW.pdf",10636 127 St NW,_NeedsReview,primary,71683
/Users/sunniyaremchuk/Jasper Park Budget v3 (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Financials/Jasper Park Budget v3 (1).xlsx,Jasper Park,Financials,primary,36040
/Users/sunniyaremchuk/Allendale 1 Budget.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 1 Budget.xlsx,Allendale (generic),Financials,primary,28607
/Users/sunniyaremchuk/E2025-07-CI-001 Allendale Billing #1 26_08_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 26_08_2025.pdf,Allendale (generic),_NeedsReview,primary,98490
/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St  (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/Invoice Assignment Fee 10612 127 St  (2).pdf,10612 127 Street NW,Contracts,primary,27884
/Users/sunniyaremchuk/Peakhill Commitment Letter 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/Peakhill Commitment Letter 6408 106 St.pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,465100
/Users/sunniyaremchuk/15981 110B Ave NW Term Sheet.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/15981 110B Ave NW (9-Plex)/15981 110B Ave NW Term Sheet.pdf,15981 110B Ave NW (9-Plex),_NeedsReview,duplicate,3542423
/Users/sunniyaremchuk/10612 - 127 STREET NW- Rebate Agreement.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Rebate Agreement.pdf,10612 127 Street NW,Contracts,duplicate,364541
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW - Schedule_B - Sepcifications (2).pdf,10612 127 Street NW,Contracts,duplicate,545271
/Users/sunniyaremchuk/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,Allendale (generic),_NeedsReview,primary,101918
/Users/sunniyaremchuk/Ltr -Contract termination Allendale 5plex (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Contracts/Ltr -Contract termination Allendale 5plex (1).pdf,Allendale (generic),Contracts,primary,219458
/Users/sunniyaremchuk/CCDC Allendale Evara Project 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St.pdf,Allendale (generic),_NeedsReview,primary,618922
/Users/sunniyaremchuk/Mayfield 110_ Cost Breakdown old.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/Financials/Mayfield 110_ Cost Breakdown old.xlsx,Mayfield 110,Financials,primary,4413601
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule R - Rental Guarantee Acknowledgment.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW - Schedule R - Rental Guarantee Acknowledgment.pdf,10612 127 Street NW,Contracts,duplicate,208861
/Users/sunniyaremchuk/Jasper Park Budget.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Financials/Jasper Park Budget.xlsx,Jasper Park,Financials,primary,36097
/Users/sunniyaremchuk/10646 61 Ave Allendale 6 Plex - 003.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/10646 61 Ave Allendale 6 Plex - 003.pdf,Allendale (generic),_NeedsReview,duplicate,425551
/Users/sunniyaremchuk/Jasper Park Budget .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Jasper Park/Jasper Park Budget .xlsx,Jasper Park,Financials,duplicate,36040
/Users/sunniyaremchuk/9121 152 ST NW Plans (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/Plans & Permits/9121 152 ST NW Plans (1).pdf,Verum (9121 152 St),Plans & Permits,primary,1963429
/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Addendum (1).pdf,10612 127 Street NW,Contracts,duplicate,303223
/Users/sunniyaremchuk/Allendale_Development_Capital_Stack.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Development_Capital_Stack.xlsx,Allendale (generic),_NeedsReview,primary,5541
/Users/sunniyaremchuk/Builder Agreement Jasper Park  (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Contracts/Builder Agreement Jasper Park  (1).pdf,Jasper Park,Contracts,primary,345442
/Users/sunniyaremchuk/Allendale cost breakdown .png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale cost breakdown .png,Allendale (generic),Photos,primary,511155
