group_id,is_keeper,file,viewUrl,size,modified,project,current_path
91,YES,Statement of Adjustments.pdf,https://drive.google.com/file/d/1mgm2jfJKxE7uX8oi9mNVvPbETVU-40sy/view?usp=drivesdk,28584,2026-02-26T18:12:50.104Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
91,no,Statement of Adjustments.pdf,https://drive.google.com/file/d/1R6RMyWabTkM4-qFqLTNsXha55AqKXzG2/view?usp=drivesdk,28584,2025-10-08T20:47:39.887Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
92,YES,Invoice 2024.pdf,https://drive.google.com/file/d/1PClxXSxlEACyDS854k5QrHofmixPiyWK/view?usp=drivesdk,68428,2026-02-25T21:44:29.701Z,,CORPORATION/2024 Tax Info
92,no,Invoice 2024.pdf,https://drive.google.com/file/d/13B2ecY5A0tqs6YHez7mCd7Dfsl-2U2Px/view?usp=drivesdk,68428,2025-11-01T20:51:25Z,,2025 Tax
93,YES,Demolition & Sign Receipt - Mayfield.pdf,https://drive.google.com/file/d/1G6JKG_I5DHmsxMW5IZLztbDkMJTGAXlv/view?usp=drivesdk,90855,2026-01-08T05:40:02Z,Mayfield 110,Jasper Park/Jasper Park-Invoice
93,no,Demolition & Sign Receipt - Mayfield.pdf,https://drive.google.com/file/d/1BuUrLetN3bKIjR1AGE8jBa05lNIioP0K/view?usp=drivesdk,90855,2025-12-30T09:01:25.302Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
94,YES,10612 - 127 STREET NW- Schedule C.pdf,https://drive.google.com/file/d/120YRlaU2O9u2MPtY9F59DZIRLzpfIb65/view?usp=drivesdk,785582,2026-01-05T23:44:00.266Z,10612 127 Street NW,Landridge/landridge 8-plex purching contract for clients 
94,no,10612 - 127 STREET NW- Schedule C.pdf,https://drive.google.com/file/d/1yXpAu5UjXd_qefNkqfIXDjNglDPVoPhA/view?usp=drivesdk,785582,2025-11-25T17:45:37Z,10612 127 Street NW,Landridge/Purchase Contracts Signed /10612 127St
95,YES,10612 - 127 STREET NW - Schedule A - Plans.pdf,https://drive.google.com/file/d/1ZW_GBAb-CrpV1JxQhHNwnLf8NBE9RcrP/view?usp=drivesdk,1376497,2026-01-05T23:44:00.254Z,10612 127 Street NW,Landridge/landridge 8-plex purching contract for clients 
95,no,10612 - 127 STREET NW - Schedule A - Plans.pdf,https://drive.google.com/file/d/1jman6hm2tUHQWomOrao5kZWvYLJntAhD/view?usp=drivesdk,1376497,2025-11-25T17:45:37Z,10612 127 Street NW,Landridge/Purchase Contracts Signed /10612 127St
